Barcode	Author	Title	Description	Keywords	Publisher	Date	Status	TimesLent	ISBN	Value	BindingPages
104168	Ball P W & W G Foote	Bible Handbook The				1961	Reference				
104160	Ball P W & W G Foote	Bible Handbook The				1961	Lending				
104169	Ball P W & W G Foote	Bible Handbook The				1961	Lending				
100443	Ball, Sir Robert	Earth's Beginning, The		Cosmology	Cassell and Company	1903	Reference				H/384
100446	Ball, Sir Robert	Story of the Heavens, The		Cosmology	Cassell and Company	1891	Reference				H/555
100447	Ballou, Robert	Bible of the World, The		Religious Texts	Kegan Paul Trench Trubner	1946	Reference				H/1415
106215	Banham, Martin	The Cambridge guide to theatre		Theatre / Entertainment	Cambridge University Press	1988	Lending		0-521-434378		
100448	Bard, Martin L	Peril of Faith, The		Religion / Atheism	Gustav Broukal Press	1990	Lending	1	0-910309-64-7		P/175
106107	Baring, Anne; Cashford, Jules	The Myth of Goddess: Evolution of an image		Goddess	Arkana Penguin Books	1993	Lending		0-14-019292-1		
106477	Baring-Gould W.S.	Lure of the Limerick The	Collection of Limericks	Limericks	Granada Publishing Lmtd	1967	Lending		0-246-97462-3		
101001	Barlow Nora	Autobiography of Charles Darwin The 1809-1882		Autobiography		1958	Lending				
100449	Barnard, Christiaan	Good Life Good Death : A Doctor's Case for Euthanasia and Suicide		Euthanasia / Suicide	Prentice Hall	1980	Lending		0-13-360370-9		H/146
102699	Barnes, Ernest William	Rise of Christianity, The		Christianity / Origins	Longmans Green	1948	Reference				H/356
102707	Barnes, Harry Elmer	Intellectual and Cultural History of the Western World (Vol. 1: From Earliest times Through the Middle Ages)		History	Heron Books	1965	Lending			$27.50	H/545
106547	Barnes, Harry Elmer	Intellectual and Cultural History of the Western World (Vol. 1: From Earliest times Through the Middle Ages)		History 	Heron Books	1965	Lending				
102017	Barnes, Harry Elmer	Intellectual and Cultural History of the Western World (Vol. 2: From the Renaissance Through thr Eighteenth Century)		History	Heron Books	1965	Lending			$27.50	H/404
100450	Barnes, Harry Elmer	Intellectual and Cultural History of the Western World (Vol. 3: From the Ninteenth Century to the Present Day)		History	Heron Books	1965	Lending			$27.50	H/399
102724	Barnes, Harry Elmer	Twilight of Christianity, The		Christianity	Richard R. Smith, Inc	1931	Reference				H/470
102683	Barnes, Hazel E.	University as the New Church, The		University / Religion	Watts & Co. Ltd	1970	Lending				H/198
100451	Barnhart, Joe E.	Jim and Tammy: Charismatic Intrique Inside PTL		Pentecostalism	Prometheus Books	1988	Lending	1	0-87975-460-5		H/266
106397	Barnstone, Willis; Meyer, Marvin;	The Gnostic Bible	Gnostic Texts of Mystical wisdom from the ancient and medieval worlds – Pagan, Jewish, Christian, Mandaen, Manichaean, Islamic and Cathar	Gnosticism	New Seeds	2006	Lending		1-59030-199-4		
106506	Barr, James	Fundamentalism		Religion / Politics	SCM Press Ltd	1977	Lending				
100452	Barraclough, G	Introduction to Contemporary History, An		History	Watts & Co	1966	Reference				H/274
102598	Barraclough, Geoffrey	Medieval Papacy, The		Catholocism / History	Thames & Hudson	1968	Lending				P/216
100706	Barraclough, Geoffrey	Times Atlas of World History, The		History	Collins	1978	Reference				H/360
104150	Bartley F Robert	Star Studded Hoax of Christianity The				1969					
100796	Barrett, Stephen & Jarvis, 	Health Robbers The	A close look at quackery in America	Pseudoscience	Prometheus Books	1993	Lending	2	0-87975-855-4	$US25.95	H/526
104660	Barr Alan P : Editor	Thomas H Huxleys Place in Science & letters		History		1997	Lending				
104863	Barr James	Old & New In Interpretation		Theology	SCM Press Ltd.	1966	Lending		334-01162-0		
106189	Barr. James	The Semantics of Biblical Language		Theology	SCM Press Ltd	1983	Lending		334-02323-8		
106088	Barr. James	Beyond Fundamentalism	Bibical foundations for Evangelical Christianity	Theology	Westminster Press phlidalphea	1984	Lending		0-664-24620-6		
104855	Barr James	Bible in the Modern World The		Theology	S C M Press Ltd london	1973	Lending				
101657	Barrow, Logie	Independent Spirits: Spiritualism and Enlish Plebians 1850-1910		History / Spiritualism	Routledge & Kegan Paul	1986	Lending		0-7102-0815-4		P/338
102868	Barrow John D	Origin of The Universe		Cosmology		1994	Lending				
101213	Barrowman, Rachel	Mason: The Life of RAK Mason		Biography / Mason, R.A.K.	Victoria University Press	2003	Lending		0-86473-463-8		455/P
102604	Barstow, Anne Llewellyn	Witchraze: A New History of the European Witch Hunts		Witchcraft / Europe	HarperCollins	1994	Lending		0-06-251036-3	$10.00	P/255
101308	Bartocci, Gianni	Stars and Solitude		Poetry	Dorrance & Company	1969	Reference				P/49
101309	Bartocci, Gianni	Waiting for You and Other Poems		Poetry	Roma	1966					P/158
106601	Barthorp Michael	The North-West Frontier	British India and Afganistan	History	Blandford Press	1982	Lending				
100456	Bass, Reginald Howard	Story of Natural Religion, The		Christianity	Lyle Stuart	1963	Lending				H/192
100456	Bastian, H Charlton	Nature and Origin of Living Matter, The		Biology	Watts & Co	1910	Reference				H/144
100815	Bastiat, Frederic	Law, The		Politics	Foundation for Economic Education	1998	Lending		1-57246-073-3	$9.95	P/79
106078	Bateman, David (Ltd.)	The illustrated encyclopedia of New Zealand		Encyclopedia	David Bateman Ltd.	1992	Reference		1-86953-007-1		
103036	Baumeister, Roy F.	Evil: Inside Human Violence & Cruelty		Psychology	W H Freeman & Co	1996	Lending	3	0-7167-2902-4	$US24.95	H/431
100460	Baur, Ferdinand C.	Paul: The Apostle of Jesus Christ		Christianity	Hendrickson Publishers	2003	Reference		1-56563-899-9	$US 20	730/H
100459	Beadnell C.M	Dictionary of Scientific Terms		Science	Watts & Co	1938	Lending				H/235
100461	Beadnell C.M	Dictionary of Scientific Terms		Science	Watts & Co	1938	Reference				H/235
100462	Beadnell, C M	Origin of the Kiss, The		Psychology	Watts & Co	1943	Lending				H/117
100463	Beadnell, C M	Origin of the Kiss, The		Psychology	Watts & Co	1943	Reference				H/117
100464	Beadnell, C M	Picture Book of Evolution		Evolution	Watts & Co	1932	Lending				H/309
100887	Beadnell, C M	Picture Book of Evolution		Evolution	Watts & Co	1934	Reference				H/309
100646	Beaglehole, Ernest	University and the Community, The		Essays	Whitcombe & Tombs Ltd	1946	Reference				H/302
100663	Beaglehole, J.C.	New Zealand's Heritage 1: The Making of a Nation		New Zealand / History	Hamlyn House Books	1978	Lending				H/140
102030	Beaglehole, J.C.	New Zealand's Heritage 2: The Making of a Nation		New Zealand / History	Hamlyn House Books	1978	Lending				H/140
100465	Beaglehole, J.C.	New Zealand's Heritage 3: The Making of a Nation		New Zealand / History	Hamlyn House Books	1978	Lending				H/138
106140	Beare, Wright B.	The Earliest Records of Jesus	A companion to Huck's Synopsis of the First Three Gospels	Jesus	Alden Press	1962	Lending				
100465	Beatty, H.M.	Brief History of Education, A		Education	Watts & Co.	1922	Reference				H/184
106368	Beaver, Pierce R. et. al. [ed.]	A lion handbook :The world's religions 		Religion	Lion 	1988	Lending		9780745-915227		
102947	Becker, Jasper	Hungry Ghosts: Mao's Secret Famine		China / History	The Free Press	1996	Lending		0-684-83457-X		352/H
104657	Beckett Bernard	Falling for Science Asking the Big Questions		Science		2007	Lending				
100469	Bedborough, George	Arms and the Clergy		History / Clergy	Pioneer Press	1934	Reference				H/109
100468	Beeton, Samuel O	Beeton's Dictionary of Literature and Art		Literature	Ward Lock	1888	Reference				H/400
100467	Beeton, Samuel O	Beeton's Illustrated Dictionary of  Religion, Philosophy, Politics and Law		Politics	Ward Lock	1886	Reference				H/532
102336	Beeton, Samuel O	Beeton's Illustrated Dictionary of the Physical Sciences		Physics	Ward Lock	1886	Reference				H/632
102858	Beevor, Antony	Berlin: The Downfall 1945		History / World War II	Viking	2002	Lending		0-670-88695-5	$59.95	H/489
